HEADER;;PRECINCT;REGISTERED;BALLOTS;TURNOUT;;TOTAL_S;DEM_S;REP_S;;;;;;;;;TOTAL_I;BIDEN;TRUMP;;;;;;;;;REP_PERCENT;T_MINUS_R;;IND_PERCENT;;;
COMMENT;;;;;;;;Nur straight;;;;;;;;;;Nur individualle;;;Achtung, das ist die Summe, mit straight votes!;;;;;;;;;;Min;16,1;;;
COMMENT;;;;;;;;;;Straight Party;;;;;;;;;;;Individual;;;;;;;;;;Max;55,7;;;
COMMENT;;TOTALS: 252 of 252;Registered voters;Ballots Cast;Turnout;;Total;DEM %;REP %;Democratic Party;Republican Party;Libertarian Party;US Taxpayers Party;Working Class Party;Green Party;Natural Law Party;;Total;Biden %;Trump %;Joseph R. Biden w/ Kamala D. Harris;Donald J. Trump w/ Michael R. Pence;Jo Jorgensen w/ Jeremy Cohen;Don Blankenship w/ William Mohr;Howie Hawkins w/ Angela Walker;Rocky De La Fuente w/ Darcy Richardson;Total write-in;;REP %;Trump % - REP %;;Ind %;;;
DATA;;Grand Rapids City Ward 3 Precinct 68;1705;1280;75.07%;;676;83,0;16,4;561;111;3;0;0;0;1;;598;80,1;16,4;1040;209;16;1;2;1;5;;16,4;0,0;;46,9;;;
DATA;;Grand Rapids City Ward 3 Precinct 69;1437;1154;80.31%;;623;49,6;49,4;309;308;3;1;0;2;0;;524;61,5;35,3;631;493;14;4;1;0;4;;49,4;-14,1;;45,7;;;
DATA;;Grand Rapids City Ward 3 Precinct 70;1957;908;46.4%;;739;90,8;6,5;671;48;4;3;9;1;3;;160;86,9;16,3;810;74;9;1;2;1;2;;6,5;9,8;;17,8;;;
DATA;;Grand Rapids City Ward 3 Precinct 71;1785;1196;67%;;750;82,9;15,2;622;114;6;1;3;3;1;;442;79,2;17,2;972;190;18;2;1;1;8;;15,2;2,0;;37,1;;;
DATA;;Grand Rapids City Ward 3 Precinct 72;932;721;77.36%;;375;66,9;30,9;251;116;7;0;1;0;0;;346;74,6;19,4;509;183;23;0;3;0;3;;30,9;-11,6;;48,0;;;
DATA;;Grand Rapids City Ward 3 Precinct 73;1174;913;77.77%;;484;67,4;31,0;326;150;4;2;1;0;1;;428;69,4;27,3;623;267;12;4;2;1;3;;31,0;-3,7;;46,9;;;
DATA;;Grand Rapids City Ward 3 Precinct 74;1455;1005;69.07%;;599;73,3;24,9;439;149;6;2;2;0;1;;404;70,5;23,0;724;242;21;3;3;0;10;;24,9;-1,9;;40,3;;;
DATA;;Grand Rapids City Ward 3 Precinct 75;1362;827;60.72%;;552;86,6;11,1;478;61;7;0;5;1;0;;270;81,5;16,3;698;105;15;0;0;0;4;;11,1;5,2;;32,8;;;
DATA;;Grand Rapids City Ward 3 Precinct 76;1642;854;52.01%;;653;89,4;7,8;584;51;5;5;3;4;1;;199;92,0;10,1;767;71;9;0;2;0;3;;7,8;2,2;;23,4;;;
DATA;;Grand Rapids City Ward 3 Precinct 77;1393;1121;80.47%;;624;70,0;29,2;437;182;2;0;2;1;0;;487;70,2;24,6;779;302;15;0;4;1;10;;29,2;-4,5;;43,8;;;
